"","paperName","researcher","journal","citations","year"
"1","Nudge: Improving decisions about health, wealth, and happiness","RH Thaler, CR Sunstein","Constitutional Political Economy, 2008","14428","2008"
"2","Richard H. Thaler, Cass R. Sunstein, Nudge: Improving decisions about health, wealth, and happiness","TC Leonard","Constitutional Political Economy 19 (4), 356-360, 2008","14349","2008"
"3","Nudge: Improving Decisions about Health, Wealth and Happiness","RHTCR Sunstein","","14340","2008"
"4","Does the stock market overreact?","WFM De Bondt, R Thaler","The Journal of finance 40 (3), 793-805, 1985","9221","1985"
"5","Toward a positive theory of consumer choice","R Thaler","Journal of Economic Behavior & Organization 1 (1), 39-60, 1980","6711","1980"
"6","Mental accounting and consumer choice","R Thaler","Marketing science 4 (3), 199-214, 1985","6624","1985"
"7","Anomalies: The endowment effect, loss aversion, and status quo bias","D Kahneman, JL Knetsch, RH Thaler","Journal of Economic perspectives 5 (1), 193-206, 1991","5423","1991"
"8","Experimental tests of the endowment effect and the Coase theorem","D Kahneman, JL Knetsch, RH Thaler","Journal of political Economy 98 (6), 1325-1348, 1990","5043","1990"
"9","Fairness as a constraint on profit seeking: Entitlements in the market","D Kahneman, JL Knetsch, R Thaler","The American economic review, 728-741, 1986","4231","1986"
"10","A survey of behavioral finance","N Barberis, R Thaler","Handbook of the Economics of Finance 1, 1053-1128, 2003","4100","2003"
"11","Mental accounting matters","RH Thaler","Journal of Behavioral decision making 12 (3), 183-206, 1999","3556","1999"
"12","A behavioral approach to law and economics","C Jolls, CR Sunstein, R Thaler","Stanford law review, 1471-1550, 1998","3459","1998"
"13","Myopic loss aversion and the equity premium puzzle","S Benartzi, RH Thaler","The quarterly journal of Economics 110 (1), 73-92, 1995","3391","1995"
"14","Further evidence on investor overreaction and stock market seasonality","WFM De Bondt, RH Thaler","The Journal of finance 42 (3), 557-581, 1987","3029","1987"
"15","An economic theory of self-control","RH Thaler, HM Shefrin","Journal of political Economy 89 (2), 392-406, 1981","2964","1981"
"16","Fairness and the assumptions of economics","D Kahneman, JL Knetsch, RH Thaler","Journal of business, S285-S300, 1986","2885","1986"
"17","Gambling with the house money and trying to break even: The effects of prior outcomes on risky choice","RH Thaler, EJ Johnson","Management science 36 (6), 643-660, 1990","2626","1990"
"18","Save more tomorrow™: Using behavioral economics to increase employee saving","RH Thaler, S Benartzi","Journal of political Economy 112 (S1), S164-S187, 2004","2572","2004"
"19","Investor sentiment and the closed-end fund puzzle","CMC Lee, A Shleifer, RH Thaler","The journal of finance 46 (1), 75-109, 1991","2405","1991"
"20","Some empirical evidence on dynamic inconsistency","R Thaler","Economics letters 8 (3), 201-207, 1981","2383","1981"
"21","Libertarian paternalism is not an oxymoron","CR Sunstein, RH Thaler","The University of Chicago Law Review, 1159-1202, 2003","2192","2003"
"22","Libertarian paternalism","RH Thaler, CR Sunstein","American economic review 93 (2), 175-179, 2003","1899","2003"
"23","Anomalies: Ultimatums, dictators and manners","CF Camerer, RH Thaler","Journal of Economic perspectives 9 (2), 209-219, 1995","1863","1995"
"24","The behavioral life-cycle hypothesis","HM Shefrin, RH Thaler","Economic inquiry 26 (4), 609-643, 1988","1690","1988"
"25","Do changes in dividends signal the future or the past?","S Benartzi, R Michaely, R Thaler","The Journal of Finance 52 (3), 1007-1034, 1997","1686","1997"
"26","Naive diversification strategies in defined contribution saving plans","S Benartzi, RH Thaler","American economic review 91 (1), 79-98, 2001","1658","2001"
"27","Price reactions to dividend initiations and omissions: Overreaction or drift?","R Michaely, RH Thaler, KL Womack","The Journal of Finance 50 (2), 573-608, 1995","1364","1995"
"28","The winner's curse: Paradoxes and anomalies of economic life","R Thaler","Simon and Schuster, 2012","1351","2012"
"29","Anomalies: foreign exchange","KA Froot, RH Thaler","Journal of economic perspectives 4 (3), 179-192, 1990","1245","1990"
"30","Labor supply of New York City cabdrivers: One day at a time","C Camerer, L Babcock, G Loewenstein, R Thaler","The Quarterly Journal of Economics 112 (2), 407-441, 1997","1209","1997"
"31","The effect of myopia and loss aversion on risk taking: An experimental test","RH Thaler, A Tversky, D Kahneman, A Schwartz","The Quarterly Journal of Economics 112 (2), 647-661, 1997","1168","1997"
"32","Quasi rational economics","RH Thaler","Russell Sage Foundation, 1994","1153","1994"
"33","Anomalies: Saving, fungibility, and mental accounts","RH Thaler","Journal of economic perspectives 4 (1), 193-205, 1990","1139","1990"
"34","Misbehaving: The making of behavioral economics","RH Thaler, LJ Ganser","WW Norton, 2015","1136","2015"
"35","Advances in behavioral finance","RH Thaler","Princeton University Press, 2005","1123","2005"
"36","From homo economicus to homo sapiens","RH Thaler","Journal of economic perspectives 14 (1), 133-141, 2000","1119","2000"
"37","Financial decision-making in markets and firms: A behavioral perspective","WFM De Bondt, RH Thaler","Handbooks in operations research and management science 9, 385-410, 1995","1108","1995"
"38","Anomalies: risk aversion","M Rabin, RH Thaler","Journal of Economic perspectives 15 (1), 219-232, 2001","1083","2001"
"39","Anomalies: The winner's curse","RH Thaler","Journal of Economic Perspectives 2 (1), 191-202, 1988","1079","1988"
"40","Anomalies: intertemporal choice","G Loewenstein, RH Thaler","Journal of Economic perspectives 3 (4), 181-193, 1989","1060","1989"
"41","Anomalies: cooperation","RM Dawes, RH Thaler","Journal of economic perspectives 2 (3), 187-197, 1988","1049","1988"
"42","Do security analysts overreact?","WFM De Bondt, RH Thaler","","1030","1990"
"43","Anomalies: The ultimatum game","RH Thaler","Journal of economic perspectives 2 (4), 195-206, 1988","1012","1988"
"44","The flypaper effect","JR Hines, RH Thaler","Journal of economic perspectives 9 (4), 217-226, 1995","986","1995"
"45","Behavioral economics","S Mullainathan, RH Thaler","National Bureau of Economic Research, 2000","949","2000"
"46","The value of saving a life: evidence from the labor market","R Thaler, S Rosen","Household production and consumption, 265-302, 1976","923","1976"
"47","Heuristics and biases in retirement savings behavior","S Benartzi, R Thaler","Journal of Economic perspectives 21 (3), 81-104, 2007","919","2007"
"48","Window dressing by pension fund managers","J Lakonishok, A Shleifer, R Thaler, R Vishny","National Bureau of Economic Research, 1991","832","1991"
"49","Can the market add and subtract? Mispricing in tech stock carve-outs","OA Lamont, RH Thaler","Journal of Political Economy 111 (2), 227-268, 2003","823","2003"
"50","Anomalies: Utility maximization and experienced utility","D Kahneman, RH Thaler","Journal of Economic Perspectives 20 (1), 221-234, 2006","735","2006"
"51","The end of behavioral finance","RH Thaler","Financial Analysts Journal 55 (6), 12-17, 1999","722","1999"
"52","Why nudge?: The politics of libertarian paternalism","CR Sunstein","Yale University Press, 2014","644","2014"
"53","Decision making and problem solving","HA Simon, GB Dantzig, R Hogarth, CR Plott, H Raiffa, TC Schelling, ...","Interfaces 17 (5), 11-31, 1987","643","1987"
"54","Anomalies: Parimutuel betting markets: Racetracks and lotteries","RH Thaler, WT Ziemba","Journal of Economic perspectives 2 (2), 161-174, 1988","618","1988"
"55","Risk aversion or myopia? Choices in repeated gambles and retirement investments","S Benartzi, RH Thaler","Management science 45 (3), 364-381, 1999","603","1999"
"56","Anomalies: the January effect","RH Thaler","Journal of Economic Perspectives 1 (1), 197-201, 1987","570","1987"
"57","Anomalies: preference reversals","A Tversky, RH Thaler","Journal of Economic Perspectives 4 (2), 201-211, 1990","550","1990"
"58","Individual preferences, monetary gambles, and stock market participation: A case for narrow framing","N Barberis, M Huang, RH Thaler","American economic review 96 (4), 1069-1090, 2006","491","2006"
"59","Nudge: improving decisions about health","RH Thaler, CR Sunstein","Wealth, and Happiness 6, 2008","482","2008"
"60","Psychology and savings policies","RH Thaler","The American Economic Review 84 (2), 186-192, 1994","461","1994"
"61","The myth of the ethical consumer hardback with DVD","TM Devinney, P Auger, GM Eckhardt","Cambridge University Press, 2010","455","2010"
"62","Deal or no deal? decision making under risk in a large-payoff game show","T Post, MJ Van den Assem, G Baltussen, RH Thaler","American Economic Review 98 (1), 38-71, 2008","451","2008"
"63","Design choices in privatized social-security systems: Learning from the Swedish experience","H Cronqvist, RH Thaler","American Economic Review 94 (2), 424-428, 2004","403","2004"
"64","Dividend changes do not signal changes in future profitability","G Grullon, R Michaely, S Benartzi, RH Thaler","The Journal of Business 78 (5), 1659-1682, 2005","401","2005"
"65","Choice architecture","J Balz, C Sunstein, R Thaler","E. Shafir, The behavioral foundations of public policy, 428-439, 2014","391","2014"
"66","Anomalies: The equity premium puzzle","JJ Siegel, RH Thaler","Journal of Economic Perspectives 11 (1), 191-200, 1997","389","1997"
"67","The relevance of quasi rationality in competitive markets","T Russell, R Thaler","The American Economic Review 75 (5), 1071-1082, 1985","353","1985"
"68","Mental accounting and consumer choice","RH Thaler","Marketing Science 27 (1), 15-25, 2008","330","2008"
"69","Anomalies: The law of one price in financial markets","OA Lamont, RH Thaler","Journal of Economic Perspectives 17 (4), 191-202, 2003","304","2003"
"70","A note on the value of crime control: evidence from the property market","R Thaler","Journal of Urban Economics 5 (1), 137-145, 1978","303","1978"
"71","Anomalies: A mean-reverting walk down Wall Street","WFM De Bondt, RH Thaler","Journal of Economic Perspectives 3 (1), 189-202, 1989","296","1989"
"72","Behavioral economics: Past, present, and future","RH Thaler","American Economic Review 106 (7), 1577-1600, 2016","294","2016"
"73","The psychology of choice and the assumptions of economics","R Thaler","Laboratory experimentation in economics: Six points of view, 99-130, 1987","294","1987"
"74","Annuitization puzzles","S Benartzi, A Previtero, RH Thaler","Journal of Economic Perspectives 25 (4), 143-64, 2011","286","2011"
"75","The endowment effect, loss aversion, and status quo bias","D Kahneman, JL Knetsch, RH Thaler","Journal of economic perspectives 5 (1), 193-206, 1991","285","1991"
"76","Probabilistic insurance","P Wakker, R Thaler, A Tversky","Journal of Risk and Uncertainty 15 (1), 7-28, 1997","255","1997"
"77","Regulating consumer financial products: Evidence from credit cards","S Agarwal, S Chomsisengphet, N Mahoney, J Stroebel","The Quarterly Journal of Economics 130 (1), 111-164, 2014","243","2014"
"78","Anomalies: interindustry wage differentials","RH Thaler","Journal of Economic Perspectives 3 (2), 181-193, 1989","243","1989"
"79","Anomalies: Closed-end mutual funds","C Lee, A Shleifer, RH Thaler","Journal of economic Perspectives 4 (4), 153-164, 1990","240","1990"
"80","Should governments invest more in nudging?","S Benartzi, J Beshears, KL Milkman, CR Sunstein, RH Thaler, M Shankar, ...","Psychological science 28 (8), 1041-1055, 2017","228","2017"
"81","Nudge: Wie man kluge Entscheidungen anstößt","RH Thaler, CR Sunstein","Ullstein eBooks, 2009","213","2009"
"82","Libertarian paternalism","CR Sunstein, R Thaler","American Economic Review, 2003","212","2003"
"83","Behavioral economics","RH Thaler","Journal of Political Economy 125 (6), 1799-1805, 2017","206","2017"
"84","Economic analysis and the psychology of utility: Applications to compensation policy","D Kahneman, R Thaler","The American Economic Review 81 (2), 341-346, 1991","199","1991"
"85","The endowment effect and repeated market trials: Is the Vickrey auction demand revealing?","JL Knetsch, FF Tang, RH Thaler","Experimental economics 4 (3), 257-269, 2001","189","2001"
"86","Yes, discounts on closed-end funds are a sentiment index","N Chopra, CMC Lee, A Shleifer, RH Thaler","Journal of Finance, 801-808, 1993","189","1993"
"87","Behavioral economics and the retirement savings crisis","S Benartzi, RH Thaler","Science 339 (6124), 1152-1153, 2013","186","2013"
"88","Caveat compounder: A warning about using the daily CRSP equal-weighted index to compute long-run excess returns","L Canina, R Michaely, R Thaler, K Womack","The Journal of Finance 53 (1), 403-416, 1998","183","1998"
"89","Invest now, drink later, spend never: On the mental accounting of delayed consumption","E Shafir, RH Thaler","Journal of economic psychology 27 (5), 694-712, 2006","176","2006"
"90","Handbook of the Economics of Finance; Volume 1A+ Volume 1B","M Harris, GM Constantinides, RM Stulz","Elsevier, 2003","164","2003"
"91","Mental accounting, saving, and self-control","HM Shefrin, RH Thaler","Advances in Behavioral Economics, 395, 1992","164","1992"
"92","Transaction utility theory","R Thaler","ACR North American Advances, 1983","133","1983"
"93","The psychology and economics conference handbook: Comments on Simon, on Einhorn and Hogarth, and on Tversky and Kahneman","RH Thaler","The Journal of Business 59 (4), S279-S284, 1986","122","1986"
"94","The law and economics of company stock in 401 (k) plans","S Benartzi, RH Thaler, SP Utkus, CR Sunstein","The Journal of Law and Economics 50 (1), 45-79, 2007","118","2007"
"95","The nominal share price puzzle","WC Weld, R Michaely, RH Thaler, S Benartzi","Journal of Economic Perspectives 23 (2), 121-42, 2009","116","2009"
"96","Smarter information, smarter consumers","RH Thaler, W Tucker","Harvard Business Review 91 (1), 44-54, 2013","105","2013"
"97","Split or steal? Cooperative behavior when the stakes are large","MJ Van den Assem, D Van Dolder, RH Thaler","Management Science 58 (1), 2-20, 2012","101","2012"
"98","A survey of behavioral finance","R Thaler, N Barberis","National Bureau of Economic Research, 2002","94","2002"
"99","Nudge: improving decisions about health, wealth, and happiness. 2008","RH Thaler, CR Sunstein","Londen: Penguin Books, 2009","93","2009"
"100","Anomalies: The Endowment Effect","D Kahneman, JL Knetsch, RH Thaler","Loss Aversion, and Status Quo Bias 5 (1), 193-206, 1991","91","1991"
"101","The loser's curse: Decision making and market efficiency in the National Football League draft","C Massey, RH Thaler","Management Science 59 (7), 1479-1495, 2013","89","2013"
"102","Irving Fisher: modern behavioral economist","RH Thaler","The American economic review 87 (2), 439-441, 1997","86","1997"
"103","Illusions and mirages in public policy","RH Thaler","Environmental Impact Assessment, Technology Assessment, and Risk Analysis …, 1985","84","1985"
"104","Theories and tropes: a reply to Posner and Kelman","C Jolls, CR Sunstein, R Thaler","Stanford Law Review, 1593-1608, 1998","78","1998"
"105","Doing economics without homo economicus","RH Thaler","Foundations of research in economics: How do economists do economics, 227-237, 1996","77","1996"
"106","An econometric analysis of property crime: interaction between police and criminals","R Thaler","Journal of Public Economics 8 (1), 37-51, 1977","77","1977"
"107","Nudge: o empurrão para a escolha certa","R THALER, C SUNSTEIN","São Paulo: Campus, 2009","76","2009"
"108","Nudge, choice architecture, and libertarian paternalism","P Schlag","Mich. L. Rev. 108, 913, 2009","75","2009"
"109","Does the stock market overreact?","DBWFRH Thaler","","75","1985"
"110","Intertemporal choice","R Thaler, G Loewenstein","Journal of Economic Perspectives 3, 181-193, 1992","74","1992"
"111","A behavioral approach to law and economics","CR Sunstein, C Jolls, RH Thaler","Stanford Law Review 50, 1471, 1998","72","1998"
"112","Nudge: la méthode douce pour inspirer la bonne décision","RH Thaler, CR Sunstein","Vuibert, 2017","71","2017"
"113","The value of life saving","R Thaler, S Rosen","Household Production and Consumption, NBER Press, New York, 1976","71","1976"
"114","A survey of behavioral finance, Handbook of the Economics of Finance, Edited by GM Constantinidis, M. Harris and R. Stulz","N Barberis, R Thaler","Elsevier, 2003","68","2003"
"115","Nudge. La spinta gentile: La nuova strategia per migliorare le nostre decisioni su denaro, salute, felicità","R Thaler, CR Sunstein","Feltrinelli Editore, 2014","66","2014"
"116","Helping consumers know themselves","E Kamenica, S Mullainathan, R Thaler","American Economic Review 101 (3), 417-22, 2011","66","2011"
"117","Behavioral economics (No. w7948)","S Mullainathan, RH Thaler","National Bureau of Economic Research. doi 10, w7948, 2000","66","2000"
"118","Choice architecture and retirement saving plans","S Benartzi, E Peleg, RH Thaler","The behavioral foundations of public policy, 245-263, 2013","60","2013"
"119","Cognitive economics","M Egidi, S Rizzello","Edward Elgar Publishing, 2004","60","2004"
"120","A behavioral approach to law and economics","J Christine, CR Sunstein, R Thaler","Stanford Law Review 50 (5), 1471-1550, 1998","60","1998"
"121","The loser’s curse: Overconfidence vs. market efficiency in the National Football League draft","C Massey, RH Thaler","University of Chicago, mimeo, 2006","56","2006"
"122","Un pequeño empujón","R Thaler, C Sunstein","México DF: Taurus editorial, 2009","54","2009"
"123","College and university endownment funds: Why not 100% equities?","RH Thaler, JP Williamson","Journal of Portfolio Management 21 (1), 27, 1994","53","1994"
"124","Naive diversification strategies in defined contribution saving plans","RH Thaler, S Benartzi","American Economic Review 91 (1), 79-98, 2001","51","2001"
"125","From cashews to nudges: the evolution of behavioral economics","RH Thaler","American Economic Review 108 (6), 1265-87, 2018","49","2018"
"126","IMPULSE","E Thaler, G Kronenbitter, S Waldow","IMPULSE 6, 16, 2017","44","2017"
"127","sunstein CR (2008)","RH Thaler","Nudge: improving decisions about health, wealth, and happiness, 2008","44","2008"
"128","In honor of Matthew Rabin: winner of the John Bates Clark medal","C Camerer, RH Thaler","Journal of economic perspectives 17 (3), 159-176, 2003","44","2003"
"129","Opting in vs. opting out","RH Thaler","The New York Times 26, 2009","43","2009"
"130","Impuls: jak podejmowac wlasciwe decyzje dotyczace zdrowia, dobrobytu i szczescia","RH Thaler, CR Sunstein, J Grzegorczyk","Zysk i S-ka Wydawnictwo, 2012","42","2012"
"131","Efficiency and the disposition effect in NFL prediction markets","SM Hartzmark, DH Solomon","The Quarterly Journal of Finance 2 (03), 1250013, 2012","40","2012"
"132","Using mental accounting in a theory of consumer behavior","RH Thaler","Graduate School of Business and Public Administration, Cornell University, 1983","40","1983"
"133","Summing up","N Chopra, CMC Lee, A Shleifer, RH Thaler","The Journal of Finance 48 (2), 811-812, 1993","39","1993"
"134","Company stock, market rationality, and legal reform","S Benartzi, RH Thaler, SP Utkus, CR Sunstein","U Chicago Law & Economics, Olin Working Paper, 2004","38","2004"
