"","paperName","researcher","journal","citations","year"
"277","Rethinking depoliticisation: Beyond the governmental","C Byrne, Y Ahmad, M Broussine, M Albrow, I Armine, S Szreter, P Alcock, ...","Neoliberalisms in British Politics 5 (1), 1-13, 2019","","2019"
"278","How do welfare sanctions work?","B Watts, S Fitzpatrick, M Adler, M Adler, LI Terum, S Civitarese Matteucci, ...","Welfare Conditionality 43 (2), 1-15, 2018","","2018"
"279","The social meaning of money","C Holmes, R Abdelal, M Blyth, G Agamben, EL Andrews, T Aquinas, ...","Polanyi in Times of Populism: Vision and Contradiction in the History of …, 2018","","2018"
"280","Adfærdsøkonomi: hvordan vi afslørede det ufornuftige menneske","RH Thaler","Gyldendal Business, 2018","","2018"
"281","AR Luria’s role in the development of Soviet psychology","J Roche, J Roche, R Abdelal, M Blyth, C Parsons, R Abdelal, M Blyth, ...","Marxism, Psychology and Social Science Analysis: Taking Sève Seriously 25 (4 …, 2018","","2018"
"282","The contribution of expanding portion sizes to the US obesity epidemic","JD Wright, S Abel, A Abramowitz, S Webster, A Adler, M Albrecht, ...","Lost Souls: The Seven Deadly Sins in a Secular World 39 (3), xi-xxiv, 2018","","2018"
"283","Behavioral economics: Past, present, and future","RH Thaler","Revista de Economía Institucional 20 (38), 9-43, 2018","","2018"
"284","Applying Gibson’s theory of affordances to interior design","A Parikh, P Parikh, C Alexander, M Allais, IH Almass, D Ariely, KJ Arrow, ...","Choice Architecture: A New Approach to Behavior, Design, and Wellness 122 (1 …, 2018","","2018"
"285","Young Black Men Killed by Us Police at Highest Rate in Year of 1,134 Deaths","S Killmister, JH Aguilar, L Alexander, J Anderson, GEM Anscombe, ...","Taking the Measure of Autonomy: A Four-Dimensional Theory of Self-Governance …, 2018","","2018"
"286","“Making Politics Work for Development: Harnessing Transparency and Citizen Engagement.","SA Mahmood, MAA Slimane, B Levy, C Sunstein, R Thaler, B Levy","World Bank, 2018","","2018"
"287","What to do on spring break? The role of predicted, on-line, and remembered experience in future choice","E Cartwright, K Abbink, B Irlenbusch, E Renner, S Agarwal, C Liu, ...","Behavioral Economics 44, 1-27, 2018","","2018"
"288","Direct regulation for the public’s health and safety","O Lobel, R Steinzor, M Wansley, CR Sunstein, RH Thaler, AB Marks, ...","Public Health Law and Ethics: A Reader, Third Edition, 233-273, 2018","","2018"
"289","Justification, confirmation, and the problem of mutually exclusive hypotheses","T Shogenji, H Akaike, W Alston, W Alston, W Alston, W Alston, W Alston, ...","Formal Epistemology and Cartesian Skepticism: In Defense of Belief in the …, 2018","","2018"
"290","Conflict, fusion, or coexistence? The complexity of contemporary American conservatism","D Leiser, Y Shemesh, JC Abric, JC Abric, JC Abric, F Ackermann, ...","How We Misunderstand Economics and Why It Matters: The Psychology of Bias …, 2018","","2018"
"291","The kindly words of Nudge are Cameron’s ideal veneer","M Whitehead, R Jones, R Lilley, J Pykett, R Howell, JM Abi-Rached, ...","Neuroliberalism: Behavioural Government in the Twenty-First Century 23 (1), 1-22, 2018","","2018"
"292","Examining, Discussing and Suggesting the Possible Contribution and Role of Buddhist Economics for Corporate Social Responsibility","R Albritton, P Vieira, M Marder, S Anand, A Sen, RN Anshen, P Atkins, ...","Transformative Ecological Economics: Process Philosophy, Ideology and Utopia …, 2017","","2017"
"293","<U+041F><U+043E><U+0448><U+0442><U+043E><U+0432><U+0445>: <U+042F><U+043A> <U+0434><U+043E><U+043F><U+043E><U+043C><U+043E><U+0433><U+0442><U+0438> <U+043B><U+044E><U+0434><U+044F><U+043C> <U+0437><U+0440><U+043E><U+0431><U+0438><U+0442><U+0438> <U+043F><U+0440><U+0430><U+0432><U+0438><U+043B><U+044C><U+043D><U+0438><U+0439> <U+0432><U+0438><U+0431><U+0456><U+0440>","R Thaler","Nash Format via PublishDrive, 2017","","2017"
"294","Commentary—Mental accounting and consumer choice: Anatomy of a failure","K Sudhir, D Prelec, G Loewenstein, D Soman, A Cheema, K Sudhir, ...","Marketing Science 36 (6), 813-814, 2017","","2017"
"295","Has Competition Lowered Prices?","S Folland, AC Goodman, M Stano, R Aaberge, HJ Aaron, TA Abbott, ...","The Economics of Health and Health Care 94 (6), xxiii-xxvi, 2017","","2017"
"296","Über soziale Innovationen","E Thümler, E Thümler, E Thümler, S Adam, H Kriesi, PA Sabatier, F Adloff, ...","Philanthropy in Practice: Pragmatism and the Impact of Philanthropic Action …, 2017","","2017"
"297","The Past, Present, and Future of Economics: A Celebration of the 125-Year Anniversary of the JPE and of Chicago Economics","U Akcigit, F Alvarez, S Bonhomme, GM Constantinides, DW Diamond, ...","Natural Field Experiments, 2017","","2017"
"298","Fuera del mundo de Dorian Gray","DT González","Economía & Región 11 (1), 200-205, 2017","","2017"
"299","The Financial Crisis of 1929 Reexamined: The Role of Soaring Inequality","JM Legge, ES Andersen, KJ Arrow, N Ascherson, PS Atiyah, R Axelrod, ...","Economics versus Reality: How to Be Effective in the Real World in Spite of …, 2016","","2016"
"300","Minutes of the Meeting of the Executive Committee: Chicago, IL, April 24, 2015","PL Rousseau","American Economic Review 106 (5), 685-90, 2016","","2016"
"301","An Aggregate Measure for Benefit–Cost Analysis","M Adler, E Posner, T Adorno, EB Ashton, G Agamben, D Heller-Roazen, ...","The Ethics of Justice Without Illusions 11 (3), 1-135, 2016","","2016"
"302","From Zero to Hero? An Exploratory Study of the Predictors of Success in the Dutch Idols Competition","JM Abramo, P Achterberg, D Heilbron, D Houtman, S Aupers, A Adermon, ...","Music in the Marketplace: A social economics approach 59 (1), 1-11, 2015","","2015"
"303","Arquitectura de las decisiones","RH Thaler, CR Sunstein, JP Balz","Advocatus, 47-63, 2015","","2015"
"304","Minutes of the Meeting of the Executive Committee Chicago, IL April 24, 2015","DC Bernanke, E Duflo, RS Rousseau, R Thaler, J Chevalier, D Laibson, ...","","","2015"
"305","'Nudges' may be effective at times, but policymakers will be disappointed if they rely on them to tackle entrenched problems","F Mols","Democratic Audit Blog, 2015","","2015"
"306","Medicine as an instrument of social control","J Abbas, H Carlin, A Cunningham, D Dedman, D McVey, T Abel, T Abel, ...","Key Themes in Public Health 5 (4), 1-6, 2014","","2014"
"307","Agarwal, S., Liu, C. and Souleles, NS (2007)‘The reaction of consumer spending and debt to tax rebates-evidence from consumer credit data’, Journal of Political Economy, 115 …","K Baicker, KS Buckles, A Chandra, N Barberis, M Huang, R Thaler, ...","Behavioral Economics 92, 457, 2014","","2014"
"308","An overview of current research on EU ETS: Evidence from its operating mechanism and economic effect","R Aaberge, M Bhuller, A Langorgen, M Mogstad, AB Abel, N Gregory, ...","Public Service Efficiency: Reframing the debate 94 (9–10), 1-10, 2014","","2014"
"309","Arquitectura de las decisiones.","RH Thaler, CR Sunstein, JP Balz","Advocatus, 3, 2014","","2014"
"310","EVEN if we grade on a very generous curve, many Americans flunk when it comes to financial literacy. Consider this three-item quiz:• Suppose you had $100 in a savings account …","RH THALER","","","2013"
"311","BEHAVIORAL ECONOMICS, PUBLIC POLICY, AND PATERNALISM: LIBERTARIAN PATERNALISM","RH Thaler, CR Sunstein","Arguing about Bioethics, 386, 2012","","2012"
"312","Fairness as a Constraint on Profit Seeking","D KAH, JLKNET SCH","Advances in Behavioral Economics, 252, 2011","","2011"
"313","Energy conservation: An alternative for investment in the oil sector for OPEC member countries","P Aalto, P Aalto, H Aaron, S Abbasi, N Abbasi, AM Abbot, J Achenbach, ...","Energy Policy in the US: Politics, Challenges, and Prospects for Change 65 …, 2011","","2011"
"314","Book Review Nudge: Improving Decisions About Health, Wealth, and Happiness","RH Thaler, CR Sunstein","Journal of Financial Counseling and Planning Volume 22 (1), 80, 2011","","2011"
"315","Cú hích–Cu<U+1ED1>n sách t<U+1EA1>o nên s<U+1EF1> khác bi<U+1EC7>t","RH Thaler, CR Sunstein","Tr<U+1EBB>, 2011","","2011"
"316","NUDGE: IMPROVING DECISIONS ABOUT HEALTH, WEALTH AND HAPPINESS.","P Schlag","MICHIGAN LAW REVIEW 108 (6), 913-924, 2010","","2010"
"317","Fellow Of The American Finance Association For 2009","RH Thaler","The Journal of Finance 64 (5), v-vii, 2009","","2009"
"318","La filosofia Nudge","R Thaler, C Sunstein","Grupo Planeta Spain, 2009","","2009"
"319","La arquitectura de las decisiones y la crisis de 2008","RH Thaler, CR Sunstein","Claves de razón práctica, 74-77, 2009","","2009"
"320","Exploiting the Shame Meter","CR Sunstein, RH Thaler","Scientific American 18 (6), 25-25, 2008","","2008"
"321","Income Transfers and Assets of the Poor","M Schreiner, M Sherraden, HJ Aaron, B Ackerman, A Alstott, DW Adams, ...","Can the Poor Save? Saving & Asset Building in Individual Development …, 2007","","2007"
"322","Save More Tomorrow™: Using Behavioral Economics to Increase Employee Saving', Journal of Political Economy, 112 (1, Part 2), S164-S187","RH Thaler, S Benartzi","INTERNATIONAL LIBRARY OF CRITICAL WRITINGS IN ECONOMICS 209 (2), 598, 2007","","2007"
"323","The Endowment Effect and Repeated Market Trials: Is the Vickrey Auction Demand Revealing?', Experimental Economics, 4 (3), December, 257-69","JL Knetsch, F Tang, RH Thaler","INTERNATIONAL LIBRARY OF CRITICAL WRITINGS IN ECONOMICS 209 (1), 52, 2007","","2007"
"324","Anomalies: Foreign Exchange', Journal of Economic Perspectives, 4 (3), Summer, 179-92","KA Froot, RH Thaler","INTERNATIONAL LIBRARY OF CRITICAL WRITINGS IN ECONOMICS 191 (2), 74, 2006","","2006"
"325","Naive Diversification Strategies in Defined Contribution Saving Plans', American Economic Review, 91 (1), March, 79-98","S Benartzi, RH Thaler","INTERNATIONAL LIBRARY OF CRITICAL WRITINGS IN ECONOMICS 187 (1), 528, 2005","","2005"
"326","Do Security Analysts Overreact?', American Economic Review, Papers and Proceedings, 80 (2), May, 52-7","WFM De Bondt, RH Thaler","INTERNATIONAL LIBRARY OF CRITICAL WRITINGS IN ECONOMICS 187 (2), 451, 2005","","2005"
"327","Does the Stock Market Overreact?', Journal of Finance, XL (3), July, 793-805","WFM De Bondt, R Thaler","INTERNATIONAL LIBRARY OF CRITICAL WRITINGS IN ECONOMICS 187 (1), 113, 2005","","2005"
"328","Saving","CR Sunstein, RH Thaler","NEW ENGLAND ECONOMIC REVIEW, 22-26, 2004","","2004"
"329","Company Stock, Market Rationality, and Legal Reform","SP Utkus, RH Thaler, CR Sunstein, S Benartzi","","","2004"
"330","<U+6709><U+9650><U+5957><U+5229>——<U+884C><U+4E3A><U+91D1><U+878D><U+5B66><U+7684><U+57FA><U+77F3>","N Barberis, R Thaler","<U+7ECF><U+6D4E><U+5BFC><U+520A>, 2004","","2004"
"331","Individual Preferences, Monetary Gambles and the","E Premium, NS BarberiS, M Huang, RH Thaler","","","2003"
"332","Moneyball: The art of winning an unfair game","RH Thaler, CR Sunstein","NEW REPUBLIC 229 (9), 27-30, 2003","","2003"
"333","Who's on First: Book Review of Moneyball by Michael Lewis","RH Thaler, CR Sunstein","Available at SSRN 1935614, 2003","","2003"
"334","Does ‘behavioural economics’ offer an alternative to the neoclassical paradigm?","RH Thaler, I Fisher","","","2003"
"335","A Non-libertarian Paterna list’s Reaction to” Libertarian Paternalism is Not an Oxymoron”","CR Sunstein, RH Thaler","","","2003"
"336","AEI-Brookings Joint Center for Regulatory Studies","CR Sunstein, RH Thaler","","","2003"
"337","American Economic Association","C Camerer, RH Thaler","The Journal of Economic Perspectives 17 (3), 159-176, 2003","","2003"
"338","Save More Tomorrow: Using Behavioral Economics to Increase Employee Saving; And, How Much is Investor Autonomy Worth?","RH Thaler, S Benartzi","University of Chicago Law School, Law and Economics Workshop, 2002","","2002"
"339","The American Economic Review: Naive diversification strategies in defined contribution saving plans","S Benartzi, RH Thaler","Family Economics and Nutrition Review 13 (2), 72-73, 2001","","2001"
"340","KENT L. WOMACK","R MICHAELY, RH THALER","Empirical Corporate Finance 1 (2), 401, 2001","","2001"
"341","The following example of a judgmental cognitive illusion will be familiar to anyone who has taken a course in probability theory","RH Thaler","Judgment and Decision Making: An Interdisciplinary Reader, 85, 2000","","2000"
"342","Normative Feelings Produced by Market Processes","D Kahneman, JL Knetsch, R Thaler","","","2000"
"343","Does financial market liberalization increase the degree of market efficiency? The case of the Athens stock exchange.","CT Lye, WS Bauman, CM Conover, RE Miller, WS Bauman, CM Conover, ...","The International Journal of Applied Economics and Finance 6 (1), 75-89, 1998","","1998"
"344","'Fairness and the Assumptions of Economics', Journal of Business, 59 (4/2), October, S285-S300","D Kahneman, JL Knetsch, RH Thaler","INTERNATIONAL LIBRARY OF CRITICAL WRITINGS IN ECONOMICS 97, 397-412, 1998","","1998"
"345","11 Intertemporal choice","G Loewenstein, RH Thaler","Research on Judgment and Decision Making: Currents, Connections, and …, 1997","","1997"
"346","LABOR SUPPLY OF NEW YORK CITY CABDRIVERS: ONE DAY AT A TIME* COLIN CAMERER LINDA BABCOCK","G LOEWENSTEIN, R Thaler","The Quarterly Journal of Economics, 1997","","1997"
"347","PRELIMINARY OBJECTIONS","RH Thaler","Foundations of Research in Economics: How Do Economists Do Economics?, 227, 1996","","1996"
"348","Index by Author to Volume 9","JR Hines Jr, RHL Thaler","Profession 9 (4), 193-205, 1995","","1995"
"349","Index by Author to Volume 9","C Camerer, RH Thaler","Profession 9 (4), 193-205, 1995","","1995"
"350","Roni Michaely","RH Thaler, K Womack","","","1994"
"351","The Winner's Curse (Gerrit Antonides)","RH Thaler","JOURNAL OF CONSUMER POLICY 17, 245-245, 1994","","1994"
"352","M. and Brumberg's life-cycle theory of saving (1954)(and the similar permanent income hypothesis by Milton Friedman [1957]) is a classic example of economic theorizing. The …","HM SHEFRIN, RH THALER","Choice Over Time, 287, 1992","","1992"
"353","American Economic Association","KA Froot, RH Thaler","The Journal of Economic Perspectives 4 (3), 179-192, 1990","","1990"
"354","A Self-control Based Theory of Personal Saving","RH Thaler","Graduate School of Management, Cornell University 85 (13), 1985","","1985"
"355","ECONOMIC PSYCHOLOGY-REYNAUD, PL","R THALER, W DEBONDT","CONTEMPORARY PSYCHOLOGY 27 (5), 394-395, 1982","","1982"
"356","Pensions, saving, and temptation","HM Shefrin, RH Thaler","Graduate School of Business and Public Administration, Cornell University, 1981","","1981"
"357","Interpreting-rationality in hierarchical games","HM Shefrin, RH Thaler","Graduate School of Business and Public Administration, Cornell University, 1980","","1980"
"358","people solve that problem, and observe how the reported solution differs from","R Thaler","AE 4492, 225, 1980","","1980"
"359","A Note on the Effect of Crime on Property Values","R Thaler","Rochester-Monroe County Criminal Justice Pilot City Program, University of …, 1975","","1975"
"360","The value of saving a life: a market estimate., Rochester, N. Y., University of Rochester, 1974.","RH Thaler","University of Rochester., 1975","","1975"
"361","Research, Management, and Offender Based Transaction Statistics Systems","R Thaler, J Lasky","Rochester-Monroe County Criminal Justice Pilot City Program, University of …, 1974","","1974"
"362","Mr. CG Pringle","WJ Beal","Botanical Gazette 12 (1), 19-19, 1887","","1887"
"363","The Global Dispatches","R Thaler","","",""
"364","Arkes, Hal R./Blumer, Catherine: The Psychology of Sunk Cost, 35 Organizational Behavior & Human Decision Processes (1985), S. 124–140. Arlen, Jennifer: Comment: The Future of …","E Aronson, TD Wilson, RM Akert, HD Assmann, UH Schneider, ...","","",""
"365","intriguing and which I have been investigating from several aspects over the last four years (12, 15, 16, 17). What I would like to do in this lecture","R Thaler","","",""
"366","2002),“Save More Tomorrow: Using Behavioral Economics to Increase Employee Saving","RH Thaler, S Benartzi","Journal of Political Economy, 0","",""
"367","Chicago Unbound","CR Sunstein, RH Thaler, UR Korobkin, L Alexander, S Prakash, ...","","",""
"368","Nudge: A Tool for Better Policy Impacts and Its Limitations under Various Policy Contexts","RH Thaler, CR Sunstein","","",""
"369","WORTH READING","RH Thaler, CR Sunstein","","",""
"370","founding co-editors","DS Karlan, CF Camerer, MK Chen, J Jamison, RB Korobkin, DG Pope, ...","","",""
"371","American Economic Association","RH Thaler, CR Sunstein","","",""
"372","Advances in Behavioral Finance, Volume II","RH Thaler, N Barberis","","",""
"373","L’académie royale des sciences de Suède","RH Thaler","","",""
"374","Should Governments Invest More in Nudging? Shlomo Benzarti Anderson School of Management, University of California, Los Angeles John Beshears Harvard Business School, Harvard …","KL Milkman, C Sunstein, RH Thaler, M Shankar, W Tucker, WJ Congdon, ...","","",""
"375","De overheid als keuze architect?","ID de Beaufort, MA Hajer, M van Hees, A Klink, HM Prast, RH Thaler","","",""
"376","ECONOMÍA DEL COMPORTAMIENTO: PASADO, PRESENTE Y FUTURO Behavioral economics: Past, present, and future Economia do comportamento: passado, presente e futuro","RH Thaler","","",""
"377","Número: Vol. 20 Núm. 38 (2018): Enero-Junio","RH Thaler","","",""
"378","Thaler, Mullainathan: Ekonomia behawioralna","RH Thaler","","",""
"379","Ekonomia behawioralna","RH Thaler, S Mullainathan","","",""
"380","Falling Behind: How Rising Inequality Harms the Middle Class, by","D Ariely, RH Thaler, CR Sunstein","","",""
"381","When an Ounce of Discretion (ary)","R Thaler, C Sunstein","","",""
"382","MARKET EFFICIENCY AND RATIONALITY","RH Thaler, CR Sumtein","","",""
"383","Nobelprijs voor Richard Thaler","R Thaler","","",""
"384","economic sciences","DE Deutsch, EN English","","",""
"385","Embracing the mystifying choices that flummox the field of economics","AJ Oswald, RH Thaler","","",""
"386","Os Erros de Bernoulli","D Bernoulli, D Kahneman, R Thaler","","",""
"387","Jack L. Knetsch","RH Thaler","","",""
"388","Homo Anomalus: Richard Thaler’s Kuhnian Adventure","RH Thaler, JI Krueger, F Kutzner","","",""
"389","GEORGE LOEwENSTEIN","R THALER","","",""
"390","JOURNAL OF ECONOMlC PSYCHOLOGY","S Kemp, J Baron, T Falconer, B Hardie, M Altman, S Beckmann, F Bolle, ...","","",""
"391","JOURNAL OF ECONOMlC PSYCHOLOGY","J Baron, D Hardman, R Hogarth, S Humphrey, D Leiser, A Ahuvia, ...","","",""
"392","JOURNAL OF ECONOMlC PSYCHOLOGY","D Hardman, R Hogarth, S Humphrey, D Leiser, P Lunt, A Ahuvia, ...","","",""
"393","Report of the Secretary","RH Thaler, D Card, JA Chevalier, NG Mankiw, JM Wooldridge, DL Costa, ...","","",""
"394","Yes, Discounts on Closed-End Funds","N CHOPRA, CMC LEE, A SHLEIFER, RH THALER","","",""
"395","Midwest Economics Association","R Aggarwal, RE Baldwin, A Beller, BR Chiswick, AR Cowan, R Feldman, ...","","",""
"396","Owen A. Lamont Graduate School of Business, University of Chicago and NBER Richard H. Thaler Graduate School of Business, University of Chicago and NBER","RH Thaler","","",""
"397","Midwest Economics Association","RE Baldwin, A Beller, BR Chiswick, SC Hu, EJ Kane, S Kon, AK Gehr Jr, ...","","",""
"398","35Anomalies: Preference Reversals","A Tversky, RH Thaler","Preference, Belief, and Similarity, 875, 0","",""
"399","Index by Author to Volume 21","S Anderson, M Baker, J Wurgler, AV Banerjee, E Duflo, E Basker, ...","","",""
